in s,C1 in V
-1.9800E-07,1.487628296949E-02
-1.9780E-07,1.441822034307E-02
-1.9760E-07,1.442888910882E-02
-1.9740E-07,1.564530582167E-02
-1.9720E-07,1.710425383411E-02
-1.9700E-07,1.687956341542E-02
-1.9680E-07,1.611952130683E-02
-1.9660E-07,1.626130725257E-02
-1.9640E-07,1.565993084572E-02
-1.9620E-07,1.403618856333E-02
-1.9600E-07,1.432315186597E-02
-1.9580E-07,1.465090663172E-02
-1.9560E-07,1.445072396658E-02
-1.9540E-07,1.475070110522E-02
-1.9520E-07,1.582752513699E-02
-1.9500E-07,1.656382038258E-02
-1.9480E-07,1.562846983783E-02
-1.9460E-07,1.510507912375E-02
-1.9440E-07,1.603924688883E-02
-1.9420E-07,1.646369622089E-02
-1.9400E-07,1.510173148476E-02
-1.9380E-07,1.524062101729E-02
-1.9360E-07,1.491050488316E-02
-1.9340E-07,1.456430294551E-02
-1.9320E-07,1.485804720782E-02
-1.9300E-07,1.591634723358E-02
-1.9280E-07,1.600297699682E-02
-1.9260E-07,1.516203694977E-02
-1.9240E-07,1.517642122693E-02
-1.9220E-07,1.590963379480E-02
-1.9200E-07,1.527973470278E-02
-1.9180E-07,1.414038120769E-02
-1.9160E-07,1.363381343894E-02
-1.9140E-07,1.441495792009E-02
-1.9120E-07,1.511390573345E-02
-1.9100E-07,1.479426232167E-02
-1.9080E-07,1.476801904850E-02
-1.9060E-07,1.504874668084E-02
-1.9040E-07,1.605433384888E-02
-1.9020E-07,1.644433821551E-02
-1.9000E-07,1.609650553204E-02
-1.8980E-07,1.534989495762E-02
-1.8960E-07,1.523304983042E-02
-1.8940E-07,1.592559666373E-02
-1.8920E-07,1.677349601872E-02
-1.8900E-07,1.583866561763E-02
-1.8880E-07,1.567657358013E-02
-1.8860E-07,1.470590868033E-02
-1.8840E-07,1.482704767026E-02
-1.8820E-07,1.506733681075E-02
-1.8800E-07,1.538743424229E-02
-1.8780E-07,1.556200181134E-02
-1.8760E-07,1.569004516117E-02
-1.8740E-07,1.639433830045E-02
-1.8720E-07,1.589578083716E-02
-1.8700E-07,1.489358321764E-02
-1.8680E-07,1.461554198526E-02
-1.8660E-07,1.540954477154E-02
-1.8640E-07,1.619040333666E-02
-1.8620E-07,1.597386012785E-02
-1.8600E-07,1.546685743146E-02
-1.8580E-07,1.529138182290E-02
-1.8560E-07,1.493625688367E-02
-1.8540E-07,1.388659301214E-02
-1.8520E-07,1.486352385022E-02
-1.8500E-07,1.563161910512E-02
-1.8480E-07,1.517520072870E-02
-1.8460E-07,1.558244806714E-02
-1.8440E-07,1.541128029115E-02
-1.8420E-07,1.573272488080E-02
-1.8400E-07,1.706729569472E-02
-1.8380E-07,1.630509338342E-02
-1.8360E-07,1.587397485040E-02
-1.8340E-07,1.726374841295E-02
-1.8320E-07,1.768638771959E-02
-1.8300E-07,1.603215673007E-02
-1.8280E-07,1.511385870166E-02
-1.8260E-07,1.481107222848E-02
-1.8240E-07,1.390501410700E-02
-1.8220E-07,1.383771580644E-02
-1.8200E-07,1.445496194996E-02
-1.8180E-07,1.468853066675E-02
-1.8160E-07,1.424381854944E-02
-1.8140E-07,1.525054984726E-02
-1.8120E-07,1.657516715117E-02
-1.8100E-07,1.641368326731E-02
-1.8080E-07,1.546228743158E-02
-1.8060E-07,1.559863398783E-02
-1.8040E-07,1.579837939702E-02
-1.8020E-07,1.578897629864E-02
-1.8000E-07,1.589297103696E-02
-1.7980E-07,1.692587529309E-02
-1.7960E-07,1.633267729543E-02
-1.7940E-07,1.499442356639E-02
-1.7920E-07,1.563242423348E-02
-1.7900E-07,1.691432223655E-02
-1.7880E-07,1.627712343819E-02
-1.7860E-07,1.493594023399E-02
-1.7840E-07,1.469816007651E-02
-1.7820E-07,1.428144910373E-02
-1.7800E-07,1.491858690046E-02
-1.7780E-07,1.639524121769E-02
-1.7760E-07,1.603794443421E-02
-1.7740E-07,1.447759029455E-02
-1.7720E-07,1.540854453109E-02
-1.7700E-07,1.537038219161E-02
-1.7680E-07,1.601711493917E-02
-1.7660E-07,1.491092723794E-02
-1.7640E-07,1.405510093085E-02
-1.7620E-07,1.568527911790E-02
-1.7600E-07,1.599293128587E-02
-1.7580E-07,1.512865741737E-02
-1.7560E-07,1.524147736840E-02
-1.7540E-07,1.517865779810E-02
-1.7520E-07,1.483891085722E-02
-1.7500E-07,1.579183871858E-02
-1.7480E-07,1.457328834571E-02
-1.7460E-07,1.464845166542E-02
-1.7440E-07,1.614042996429E-02
-1.7420E-07,1.608743584715E-02
-1.7400E-07,1.579034301452E-02
-1.7380E-07,1.705360432155E-02
-1.7360E-07,1.733128373511E-02
-1.7340E-07,1.563312458806E-02
-1.7320E-07,1.412162949331E-02
-1.7300E-07,1.446043952368E-02
-1.7280E-07,1.542145499028E-02
-1.7260E-07,1.532413131557E-02
-1.7240E-07,1.502171597444E-02
-1.7220E-07,1.463492420502E-02
-1.7200E-07,1.516673407517E-02
-1.7180E-07,1.472104965709E-02
-1.7160E-07,1.487554163672E-02
-1.7140E-07,1.585590672679E-02
-1.7120E-07,1.557436232455E-02
-1.7100E-07,1.456137021072E-02
-1.7080E-07,1.444332973100E-02
-1.7060E-07,1.446171869524E-02
-1.7040E-07,1.432896797545E-02
-1.7020E-07,1.438080213033E-02
-1.7000E-07,1.550759254955E-02
-1.6980E-07,1.608872246928E-02
-1.6960E-07,1.508512507193E-02
-1.6940E-07,1.483724937774E-02
-1.6920E-07,1.516380646266E-02
-1.6900E-07,1.516367654316E-02
-1.6880E-07,1.514825849794E-02
-1.6860E-07,1.621365566738E-02
-1.6840E-07,1.588144685142E-02
-1.6820E-07,1.412781906314E-02
-1.6800E-07,1.477638325654E-02
-1.6780E-07,1.508370061405E-02
-1.6760E-07,1.447729087435E-02
-1.6740E-07,1.449790895917E-02
-1.6720E-07,1.420615819283E-02
-1.6700E-07,1.477482981049E-02
-1.6680E-07,1.612367360853E-02
-1.6660E-07,1.617789986543E-02
-1.6640E-07,1.601775010116E-02
-1.6620E-07,1.573053301312E-02
-1.6600E-07,1.482355614193E-02
-1.6580E-07,1.472486575134E-02
-1.6560E-07,1.485839040019E-02
-1.6540E-07,1.570032835938E-02
-1.6520E-07,1.645169193856E-02
-1.6500E-07,1.557998239063E-02
-1.6480E-07,1.533972538076E-02
-1.6460E-07,1.576629207470E-02
-1.6440E-07,1.589298780076E-02
-1.6420E-07,1.555191791616E-02
-1.6400E-07,1.406973247416E-02
-1.6380E-07,1.272933856584E-02
-1.6360E-07,1.332789818756E-02
-1.6340E-07,1.330188821070E-02
-1.6320E-07,1.423361497931E-02
-1.6300E-07,1.537832730450E-02
-1.6280E-07,1.606668877415E-02
-1.6260E-07,1.564983996563E-02
-1.6240E-07,1.463493677787E-02
-1.6220E-07,1.468578047119E-02
-1.6200E-07,1.536832350306E-02
-1.6180E-07,1.601567045785E-02
-1.6160E-07,1.468545124866E-02
-1.6140E-07,1.475165990181E-02
-1.6120E-07,1.450715792365E-02
-1.6100E-07,1.511765477248E-02
-1.6080E-07,1.540046949871E-02
-1.6060E-07,1.554955515079E-02
-1.6040E-07,1.577524860390E-02
-1.6020E-07,1.567037749104E-02
-1.6000E-07,1.593878186308E-02
-1.5980E-07,1.597947600298E-02
-1.5960E-07,1.441927553155E-02
-1.5940E-07,1.490491182543E-02
-1.5920E-07,1.494749980979E-02
-1.5900E-07,1.572358581237E-02
-1.5880E-07,1.605526470579E-02
-1.5860E-07,1.541218460537E-02
-1.5840E-07,1.507681907155E-02
-1.5820E-07,1.573103406467E-02
-1.5800E-07,1.639977163635E-02
-1.5780E-07,1.533637355082E-02
-1.5760E-07,1.459067939781E-02
-1.5740E-07,1.505889018066E-02
-1.5720E-07,1.462077368982E-02
-1.5700E-07,1.568508866243E-02
-1.5680E-07,1.528470098041E-02
-1.5660E-07,1.491163923405E-02
-1.5640E-07,1.565147490241E-02
-1.5620E-07,1.469775960781E-02
-1.5600E-07,1.336493455805E-02
-1.5580E-07,1.347521246411E-02
-1.5560E-07,1.431667731144E-02
-1.5540E-07,1.476817178540E-02
-1.5520E-07,1.473836713470E-02
-1.5500E-07,1.495049773715E-02
-1.5480E-07,1.523662890308E-02
-1.5460E-07,1.472121124156E-02
-1.5440E-07,1.441940964200E-02
-1.5420E-07,1.418250259943E-02
-1.5400E-07,1.567615169100E-02
-1.5380E-07,1.690404928289E-02
-1.5360E-07,1.618550038896E-02
-1.5340E-07,1.447992884554E-02
-1.5320E-07,1.391100577079E-02
-1.5300E-07,1.471381421201E-02
-1.5280E-07,1.479331004433E-02
-1.5260E-07,1.370419674553E-02
-1.5240E-07,1.451446461491E-02
-1.5220E-07,1.528678760864E-02
-1.5200E-07,1.464636969380E-02
-1.5180E-07,1.416111663915E-02
-1.5160E-07,1.445487906225E-02
-1.5140E-07,1.530838684179E-02
-1.5120E-07,1.488100104965E-02
-1.5100E-07,1.424661996774E-02
