in s,C1 in V
-1.6460E-07,1.586886188947E-02
-1.6440E-07,1.565961652435E-02
-1.6420E-07,1.593136900105E-02
-1.6400E-07,1.569832648151E-02
-1.6380E-07,1.549383318983E-02
-1.6360E-07,1.555024153553E-02
-1.6340E-07,1.567027225159E-02
-1.6320E-07,1.578844637610E-02
-1.6300E-07,1.621389455162E-02
-1.6280E-07,1.543649957515E-02
-1.6260E-07,1.459314460866E-02
-1.6240E-07,1.415332053788E-02
-1.6220E-07,1.379357251339E-02
-1.6200E-07,1.419105633162E-02
-1.6180E-07,1.590742004104E-02
-1.6160E-07,1.634353186004E-02
-1.6140E-07,1.654558508657E-02
-1.6120E-07,1.612438746728E-02
-1.6100E-07,1.476710402407E-02
-1.6080E-07,1.407423867844E-02
-1.6060E-07,1.551442007534E-02
-1.6040E-07,1.642546682619E-02
-1.6020E-07,1.651576367207E-02
-1.6000E-07,1.628769068979E-02
-1.5980E-07,1.577291890047E-02
-1.5960E-07,1.563152923249E-02
-1.5940E-07,1.554700239561E-02
-1.5920E-07,1.632988844998E-02
-1.5900E-07,1.622382291593E-02
-1.5880E-07,1.579596354626E-02
-1.5860E-07,1.682184376754E-02
-1.5840E-07,1.717635822482E-02
-1.5820E-07,1.575040650554E-02
-1.5800E-07,1.447548643686E-02
-1.5780E-07,1.484894632362E-02
-1.5760E-07,1.640178422444E-02
-1.5740E-07,1.609483660199E-02
-1.5720E-07,1.449881280772E-02
-1.5700E-07,1.512541874312E-02
-1.5680E-07,1.501488565467E-02
-1.5660E-07,1.523887990974E-02
-1.5640E-07,1.607091185637E-02
-1.5620E-07,1.574331634678E-02
-1.5600E-07,1.510628239252E-02
-1.5580E-07,1.531936015002E-02
-1.5560E-07,1.564559592865E-02
-1.5540E-07,1.589626186527E-02
-1.5520E-07,1.662950563245E-02
-1.5500E-07,1.679103747942E-02
-1.5480E-07,1.737080114894E-02
-1.5460E-07,1.633455391042E-02
-1.5440E-07,1.574074543081E-02
-1.5420E-07,1.595941950567E-02
-1.5400E-07,1.459346917458E-02
-1.5380E-07,1.610091581009E-02
-1.5360E-07,1.552072280087E-02
-1.5340E-07,1.459743521176E-02
-1.5320E-07,1.472838568501E-02
-1.5300E-07,1.536905645393E-02
-1.5280E-07,1.529952623881E-02
-1.5260E-07,1.483711852692E-02
-1.5240E-07,1.593916603364E-02
-1.5220E-07,1.677231137641E-02
-1.5200E-07,1.713104845025E-02
-1.5180E-07,1.627169149928E-02
-1.5160E-07,1.697665472515E-02
-1.5140E-07,1.601417242549E-02
-1.5120E-07,1.454165085219E-02
-1.5100E-07,1.312750178389E-02
-1.5080E-07,1.475110390224E-02
-1.5060E-07,1.529425309040E-02
-1.5040E-07,1.464686050080E-02
-1.5020E-07,1.367479768582E-02
-1.5000E-07,1.517746849917E-02
-1.4980E-07,1.599596460350E-02
-1.4960E-07,1.615189501084E-02
-1.4940E-07,1.558540501632E-02
-1.4920E-07,1.527337330393E-02
-1.4900E-07,1.611874924041E-02
-1.4880E-07,1.636471805163E-02
-1.4860E-07,1.566297301091E-02
-1.4840E-07,1.625793586485E-02
-1.4820E-07,1.603453905322E-02
-1.4800E-07,1.553141624667E-02
-1.4780E-07,1.594590135850E-02
-1.4760E-07,1.563676233403E-02
-1.4740E-07,1.505666012876E-02
-1.4720E-07,1.540787910111E-02
-1.4700E-07,1.449693852104E-02
-1.4680E-07,1.522171889432E-02
-1.4660E-07,1.559717553668E-02
-1.4640E-07,1.456132830121E-02
-1.4620E-07,1.467197454534E-02
-1.4600E-07,1.462930460460E-02
-1.4580E-07,1.455392009579E-02
-1.4560E-07,1.647133120336E-02
-1.4540E-07,1.669185395353E-02
-1.4520E-07,1.559021855704E-02
-1.4500E-07,1.371885250323E-02
-1.4480E-07,1.379606240429E-02
-1.4460E-07,1.497141431086E-02
-1.4440E-07,1.606502636336E-02
-1.4420E-07,1.668747953139E-02
-1.4400E-07,1.664076578803E-02
-1.4380E-07,1.724416595884E-02
-1.4360E-07,1.577387769707E-02
-1.4340E-07,1.415267792530E-02
-1.4320E-07,1.440743097104E-02
-1.4300E-07,1.533779987134E-02
-1.4280E-07,1.505603427999E-02
-1.4260E-07,1.526074084453E-02
-1.4240E-07,1.468667174689E-02
-1.4220E-07,1.550203348510E-02
-1.4200E-07,1.627448639832E-02
