in s,C1 in V,C3 in V
-2.0600E-07,1.632528492250E-02,1.25440074364E-04
-2.0580E-07,1.717070090584E-02,1.13324056612E-04
-2.0560E-07,1.670918446965E-02,7.63598054182E-05
-2.0540E-07,1.688631922938E-02,6.93423363846E-05
-2.0520E-07,1.771920613013E-02,9.70782518853E-05
-2.0500E-07,1.793686506338E-02,7.84094019327E-05
-2.0480E-07,1.669157781638E-02,6.89744639676E-05
-2.0460E-07,1.757270862348E-02,4.36050274875E-05
-2.0440E-07,1.770499647595E-02,3.01089992281E-05
-2.0420E-07,1.767259669490E-02,5.09588087443E-05
-2.0400E-07,1.684127301909E-02,8.43382130843E-05
-2.0380E-07,1.678668028675E-02,8.91794257332E-05
-2.0360E-07,1.741461987607E-02,8.56787471566E-05
-2.0340E-07,1.708514169790E-02,8.30567830708E-05
-2.0320E-07,1.596181812696E-02,8.94183565397E-05
-2.0300E-07,1.624400653876E-02,7.09624884185E-05
-2.0280E-07,1.672342299484E-02,5.87133264635E-05
-2.0260E-07,1.633764916100E-02,6.88311567064E-05
-2.0240E-07,1.699083318003E-02,6.50010344107E-05
-2.0220E-07,1.722616535611E-02,9.78825304192E-05
-2.0200E-07,1.647004690953E-02,1.05565324659E-04
-2.0180E-07,1.737148753367E-02,7.57062032353E-05
-2.0160E-07,1.840719507076E-02,6.20241782162E-05
-2.0140E-07,1.860104241408E-02,8.26450104360E-05
-2.0120E-07,1.817793511786E-02,7.23994842265E-05
-2.0100E-07,1.757755848579E-02,5.37210067269E-05
-2.0080E-07,1.705661901273E-02,6.31365848240E-05
-2.0060E-07,1.748920251615E-02,7.53556417767E-05
-2.0040E-07,1.800597338937E-02,6.67316645850E-05
-2.0020E-07,1.692682617344E-02,4.22936088871E-05
-2.0000E-07,1.742719552480E-02,5.66345097032E-05
-1.9980E-07,1.820987249725E-02,9.64535439853E-05
-1.9960E-07,1.825600882061E-02,7.53949552309E-05
-1.9940E-07,1.778406483121E-02,5.27429899667E-05
-1.9920E-07,1.813438228331E-02,5.19229371566E-05
-1.9900E-07,1.836446086876E-02,4.59880142007E-05
-1.9880E-07,1.758133965544E-02,4.57387340721E-05
-1.9860E-07,1.676475043409E-02,4.50462608133E-05
-1.9840E-07,1.690841858275E-02,4.13936136756E-05
-1.9820E-07,1.789730853401E-02,3.88055613730E-05
-1.9800E-07,1.759545617737E-02,5.96910754684E-05
-1.9780E-07,1.691203816794E-02,4.63796586264E-05
-1.9760E-07,1.554769297130E-02,7.05809372012E-05
-1.9740E-07,1.609130456112E-02,7.59600468446E-05
-1.9720E-07,1.773206443526E-02,7.08910210524E-05
-1.9700E-07,1.764932434075E-02,3.35102358367E-05
-1.9680E-07,1.632422321476E-02,5.62419106718E-05
-1.9660E-07,1.775401943363E-02,8.08733205777E-05
-1.9640E-07,1.853726171888E-02,9.58073225338E-05
-1.9620E-07,1.732590301894E-02,1.15795728518E-04
-1.9600E-07,1.665653028525E-02,1.00696649635E-04
-1.9580E-07,1.660058899783E-02,5.98012858536E-05
-1.9560E-07,1.635587281547E-02,3.05676988792E-05
-1.9540E-07,1.684917435981E-02,6.88875133637E-05
-1.9520E-07,1.662962297909E-02,9.81751519721E-05
-1.9500E-07,1.659522923641E-02,9.99553052243E-05
