in s,C1 in V
-1.6460E-07,4.46837335359E-02
-1.6440E-07,4.65749330353E-02
-1.6420E-07,4.20119157527E-02
-1.6400E-07,3.93836163450E-02
-1.6380E-07,4.19971240219E-02
-1.6360E-07,4.12789951544E-02
-1.6340E-07,4.09965110477E-02
-1.6320E-07,4.12043915596E-02
-1.6300E-07,4.64694584254E-02
-1.6280E-07,4.98989862855E-02
-1.6260E-07,4.60577486549E-02
-1.6240E-07,4.36455230694E-02
-1.6220E-07,4.21394883189E-02
-1.6200E-07,4.03851350304E-02
-1.6180E-07,4.14248705376E-02
-1.6160E-07,4.24343310762E-02
-1.6140E-07,4.24264125060E-02
-1.6120E-07,4.09020656254E-02
-1.6100E-07,4.22177706379E-02
-1.6080E-07,4.53912360128E-02
-1.6060E-07,4.55114231911E-02
-1.6040E-07,4.41285185981E-02
-1.6020E-07,4.27750065457E-02
-1.6000E-07,3.98322716821E-02
-1.5980E-07,4.46080635767E-02
-1.5960E-07,4.67009828892E-02
-1.5940E-07,4.39851810690E-02
-1.5920E-07,4.33449899312E-02
-1.5900E-07,4.54039625358E-02
-1.5880E-07,4.44887844380E-02
-1.5860E-07,4.57465239335E-02
-1.5840E-07,4.90689473692E-02
-1.5820E-07,4.83036330435E-02
-1.5800E-07,4.59330142941E-02
-1.5780E-07,4.68832334038E-02
-1.5760E-07,4.24477537628E-02
-1.5740E-07,4.20365748461E-02
-1.5720E-07,4.58418028895E-02
-1.5700E-07,4.77746581193E-02
-1.5680E-07,4.65668049175E-02
-1.5660E-07,4.80891238432E-02
-1.5640E-07,4.78401184548E-02
-1.5620E-07,4.60653552320E-02
-1.5600E-07,4.66211219784E-02
-1.5580E-07,4.85972441267E-02
-1.5560E-07,4.75981189404E-02
-1.5540E-07,4.51066028792E-02
-1.5520E-07,4.09534979146E-02
-1.5500E-07,4.62683998514E-02
-1.5480E-07,4.65539410245E-02
-1.5460E-07,4.58982922602E-02
-1.5440E-07,4.57892832812E-02
-1.5420E-07,4.59074331913E-02
-1.5400E-07,4.91932766046E-02
-1.5380E-07,4.82039140072E-02
-1.5360E-07,4.74523040932E-02
-1.5340E-07,4.96769287158E-02
-1.5320E-07,4.71232352313E-02
-1.5300E-07,4.76217279676E-02
-1.5280E-07,4.55569299404E-02
-1.5260E-07,4.45541819092E-02
-1.5240E-07,4.48317742441E-02
-1.5220E-07,4.51883986127E-02
-1.5200E-07,4.64479611721E-02
-1.5180E-07,4.45994791109E-02
-1.5160E-07,4.06079562847E-02
-1.5140E-07,4.17666240130E-02
-1.5120E-07,4.19134749565E-02
-1.5100E-07,3.94766275305E-02
-1.5080E-07,4.18368783314E-02
-1.5060E-07,4.47303159628E-02
-1.5040E-07,4.71908329520E-02
-1.5020E-07,4.56746980082E-02
-1.5000E-07,4.31715543847E-02
-1.4980E-07,4.31187833194E-02
-1.4960E-07,4.33779564220E-02
-1.4940E-07,4.37304317485E-02
-1.4920E-07,4.24575210083E-02
-1.4900E-07,4.43854611833E-02
-1.4880E-07,4.44532102440E-02
-1.4860E-07,4.02105143759E-02
-1.4840E-07,4.14638836402E-02
-1.4820E-07,4.69958791975E-02
-1.4800E-07,4.67746062670E-02
-1.4780E-07,4.48629991617E-02
-1.4760E-07,4.20717671979E-02
-1.4740E-07,4.33401866350E-02
-1.4720E-07,4.63421443012E-02
-1.4700E-07,4.98733097222E-02
-1.4680E-07,4.76556560490E-02
-1.4660E-07,4.79442053940E-02
-1.4640E-07,4.74907700438E-02
-1.4620E-07,4.39483216498E-02
-1.4600E-07,4.81907125097E-02
-1.4580E-07,4.71225716639E-02
-1.4560E-07,4.50797086116E-02
-1.4540E-07,4.48226053733E-02
-1.4520E-07,4.61512580980E-02
-1.4500E-07,4.56505907234E-02
-1.4480E-07,4.40103174653E-02
-1.4460E-07,4.56731147598E-02
-1.4440E-07,4.61462242994E-02
-1.4420E-07,4.67774980236E-02
-1.4400E-07,4.13352470379E-02
-1.4380E-07,3.77107677516E-02
-1.4360E-07,4.44207583088E-02
-1.4340E-07,4.85958494712E-02
