in s,C1 in V
-2.0600E-07,3.99352573324E-02
-2.0580E-07,4.01492380071E-02
-2.0560E-07,3.90117718372E-02
-2.0540E-07,3.97494514938E-02
-2.0520E-07,3.98627329152E-02
-2.0500E-07,3.93970646430E-02
-2.0480E-07,3.97920175921E-02
-2.0460E-07,3.99148776662E-02
-2.0440E-07,3.99637674447E-02
-2.0420E-07,3.96090406459E-02
-2.0400E-07,3.89637016226E-02
-2.0380E-07,3.97576704156E-02
-2.0360E-07,4.04344671871E-02
-2.0340E-07,3.93073293846E-02
-2.0320E-07,3.90838515479E-02
-2.0300E-07,3.88810653705E-02
-2.0280E-07,3.90287475195E-02
-2.0260E-07,3.85851073544E-02
-2.0240E-07,3.93273039255E-02
-2.0220E-07,4.04865444172E-02
-2.0200E-07,4.05849921983E-02
-2.0180E-07,3.98925981019E-02
-2.0160E-07,3.99348801468E-02
-2.0140E-07,4.02319254819E-02
-2.0120E-07,3.97742898669E-02
-2.0100E-07,4.02520723175E-02
-2.0080E-07,3.99599723052E-02
-2.0060E-07,3.99256670382E-02
-2.0040E-07,4.03257608879E-02
-2.0020E-07,4.01017335709E-02
-2.0000E-07,3.94612979609E-02
-1.9980E-07,3.91463758890E-02
-1.9960E-07,3.90627268236E-02
-1.9940E-07,3.94187178928E-02
-1.9920E-07,3.89137384947E-02
-1.9900E-07,3.95709006581E-02
-1.9880E-07,3.95881277975E-02
-1.9860E-07,3.99320093449E-02
-1.9840E-07,3.87711157557E-02
-1.9820E-07,3.92929078545E-02
-1.9800E-07,3.92981512006E-02
-1.9780E-07,3.97081892472E-02
-1.9760E-07,3.96257881541E-02
-1.9740E-07,4.04502228368E-02
-1.9720E-07,4.03743363451E-02
-1.9700E-07,4.09290623385E-02
-1.9680E-07,4.02786150109E-02
-1.9660E-07,3.87365590315E-02
-1.9640E-07,3.83933573496E-02
-1.9620E-07,3.94533072133E-02
-1.9600E-07,4.00426039007E-02
-1.9580E-07,3.93864801619E-02
-1.9560E-07,4.01652940083E-02
-1.9540E-07,4.07813918311E-02
-1.9520E-07,3.95363625605E-02
-1.9500E-07,3.82088809740E-02
-1.9480E-07,3.94504643511E-02
-1.9460E-07,3.95154310856E-02
-1.9440E-07,3.87859261129E-02
-1.9420E-07,3.89712779317E-02
-1.9400E-07,3.91981830355E-02
-1.9380E-07,3.95618714858E-02
-1.9360E-07,4.00001495611E-02
-1.9340E-07,4.00430579204E-02
-1.9320E-07,4.08606636804E-02
-1.9300E-07,4.04080199543E-02
-1.9280E-07,4.00383244734E-02
-1.9260E-07,4.09299564082E-02
-1.9240E-07,4.06263312791E-02
-1.9220E-07,4.03531697113E-02
-1.9200E-07,4.00954960380E-02
-1.9180E-07,3.93441119697E-02
-1.9160E-07,3.90042141546E-02
-1.9140E-07,3.90983801801E-02
-1.9120E-07,3.86137920897E-02
-1.9100E-07,3.94743760582E-02
-1.9080E-07,4.06496981624E-02
-1.9060E-07,3.97307714913E-02
-1.9040E-07,3.94892516080E-02
-1.9020E-07,4.02242187876E-02
-1.9000E-07,4.01242971886E-02
-1.8980E-07,3.96606196184E-02
-1.8960E-07,3.88021381106E-02
-1.8940E-07,3.87379234191E-02
-1.8920E-07,3.88749931473E-02
-1.8900E-07,3.96360862534E-02
-1.8880E-07,3.84826572146E-02
-1.8860E-07,3.91868465114E-02
-1.8840E-07,3.93062467221E-02
-1.8820E-07,3.92212891485E-02
-1.8800E-07,3.97534491960E-02
-1.8780E-07,3.97056164686E-02
-1.8760E-07,3.95144462120E-02
-1.8740E-07,3.94330113661E-02
-1.8720E-07,3.96843590308E-02
-1.8700E-07,4.00184058119E-02
-1.8680E-07,3.94988093059E-02
-1.8660E-07,3.93450758886E-02
-1.8640E-07,4.03400008101E-02
-1.8620E-07,4.03403826524E-02
-1.8600E-07,3.97370532621E-02
-1.8580E-07,3.88754867483E-02
-1.8560E-07,3.93116786610E-02
-1.8540E-07,3.94847789314E-02
-1.8520E-07,3.93274249975E-02
