in s,C1 in V
-1.7260E-07,3.74502302613E-02
-1.7240E-07,3.93109545577E-02
-1.7220E-07,3.93991531339E-02
-1.7200E-07,3.82763576228E-02
-1.7180E-07,3.75075950753E-02
-1.7160E-07,3.71383931953E-02
-1.7140E-07,3.76219708007E-02
-1.7120E-07,3.73929469380E-02
-1.7100E-07,3.76515286509E-02
-1.7080E-07,3.77970431466E-02
-1.7060E-07,3.87142119463E-02
-1.7040E-07,3.87312528212E-02
-1.7020E-07,3.87892392930E-02
-1.7000E-07,3.92536409665E-02
-1.6980E-07,3.91965788323E-02
-1.6960E-07,3.81093295757E-02
-1.6940E-07,3.70190721471E-02
-1.6920E-07,3.56955021154E-02
-1.6900E-07,3.60563034657E-02
-1.6880E-07,3.69271133561E-02
-1.6860E-07,3.71162440162E-02
-1.6840E-07,3.79037936684E-02
-1.6820E-07,3.79703389946E-02
-1.6800E-07,3.87314437423E-02
-1.6780E-07,3.90630970243E-02
-1.6760E-07,3.72118605766E-02
-1.6740E-07,3.72965806629E-02
-1.6720E-07,3.91250788700E-02
-1.6700E-07,3.91451674979E-02
-1.6680E-07,3.76954661217E-02
-1.6660E-07,3.78801543731E-02
-1.6640E-07,3.89763233717E-02
-1.6620E-07,3.87737770099E-02
-1.6600E-07,3.80567214917E-02
-1.6580E-07,3.75596909318E-02
-1.6560E-07,3.81954629440E-02
-1.6540E-07,3.82800619584E-02
-1.6520E-07,3.70495007839E-02
-1.6500E-07,3.75512810890E-02
-1.6480E-07,3.78052574117E-02
-1.6460E-07,3.77106280532E-02
-1.6440E-07,3.75923314597E-02
-1.6420E-07,3.69926039595E-02
-1.6400E-07,3.72433346230E-02
-1.6380E-07,3.74815064017E-02
-1.6360E-07,3.74823655467E-02
-1.6340E-07,3.77259040717E-02
-1.6320E-07,3.71857602615E-02
-1.6300E-07,3.71947964188E-02
-1.6280E-07,3.82360988762E-02
-1.6260E-07,3.79356681835E-02
-1.6240E-07,3.75392577145E-02
-1.6220E-07,3.86808705982E-02
-1.6200E-07,3.87376277242E-02
-1.6180E-07,3.89555176254E-02
-1.6160E-07,3.80203160923E-02
-1.6140E-07,3.68875205051E-02
-1.6120E-07,3.83240436669E-02
-1.6100E-07,3.80665469449E-02
-1.6080E-07,3.75100002158E-02
-1.6060E-07,3.79307182040E-02
-1.6040E-07,3.81038696971E-02
-1.6020E-07,3.74338669237E-02
-1.6000E-07,3.72633021790E-02
-1.5980E-07,3.72301098425E-02
-1.5960E-07,3.81670692470E-02
-1.5940E-07,3.84792672005E-02
-1.5920E-07,3.90394134913E-02
-1.5900E-07,3.92729915213E-02
-1.5880E-07,3.80405793432E-02
-1.5860E-07,3.74895344023E-02
-1.5840E-07,3.74109284487E-02
-1.5820E-07,3.83357666898E-02
-1.5800E-07,3.77740976866E-02
-1.5780E-07,3.73662901577E-02
-1.5760E-07,3.89680555556E-02
-1.5740E-07,3.95010910463E-02
-1.5720E-07,3.84926503058E-02
-1.5700E-07,3.81560982671E-02
-1.5680E-07,3.84105402511E-02
-1.5660E-07,3.92503091600E-02
-1.5640E-07,3.87677583378E-02
-1.5620E-07,3.83291775826E-02
-1.5600E-07,3.76803414430E-02
-1.5580E-07,3.81838167552E-02
-1.5560E-07,3.87602379080E-02
-1.5540E-07,3.79360151011E-02
-1.5520E-07,3.80186164286E-02
-1.5500E-07,3.75825106632E-02
-1.5480E-07,3.71150193270E-02
-1.5460E-07,3.76217123587E-02
-1.5440E-07,3.86455106083E-02
-1.5420E-07,3.85666089598E-02
-1.5400E-07,3.73231186997E-02
-1.5380E-07,3.69149619248E-02
-1.5360E-07,3.76714217011E-02
-1.5340E-07,3.68733574171E-02
-1.5320E-07,3.77806541976E-02
-1.5300E-07,3.84519957472E-02
-1.5280E-07,3.85319358204E-02
-1.5260E-07,3.80030307453E-02
-1.5240E-07,3.79899642896E-02
-1.5220E-07,3.86090237182E-02
-1.5200E-07,3.88031276409E-02
-1.5180E-07,3.79143432248E-02
-1.5160E-07,3.82359265815E-02
-1.5140E-07,3.86550007854E-02
-1.5120E-07,3.90416905750E-02
-1.5100E-07,3.84090594482E-02
-1.5080E-07,3.84793999139E-02
-1.5060E-07,3.82965254132E-02
-1.5040E-07,3.82258426864E-02
